Branch,Semester,Subject Code,Subject Title,Type,Faculty Name(s)
CIVIL,Sem 1,"BSC101","Physics",THEORY,""
CIVIL,Sem 1,"BSC101L","Physics-Practical",LAB,""
CIVIL,Sem 1,"BSC103","Mathematics-I",THEORY,""
CIVIL,Sem 1,"ESC101","Basic Electrical Engineering",THEORY,""
CIVIL,Sem 1,"ESC101L","Basic Electrical Engineering Lab",LAB,""
CIVIL,Sem 1,"ESC102","Engineering Graphics & Design",THEORY,""
CIVIL,Sem 1,"ESC102L","Engineering Graphics & Design Lab",LAB,""
CIVIL,Sem 2,"BSC102","Chemistry",THEORY,""
CIVIL,Sem 2,"BSC102L","Chemistry Laboratory",LAB,""
CIVIL,Sem 2,"BSC104","Mathematics-II",THEORY,""
CIVIL,Sem 2,"ESC103","Programming for Problem Solving",THEORY,""
CIVIL,Sem 2,"ESC103L","Programming for Problem Solving Lab",LAB,""
CIVIL,Sem 2,"HSMC101","English",THEORY,""
CIVIL,Sem 2,"HSMC101L","English Language Lab",LAB,""
CIVIL,Sem 2,"ESC104","Workshop/Manufacturing Practices",THEORY,""
CIVIL,Sem 3,"BSC-105","Mathematics - III (Statistics, Probability, and Numerical Techniques)",THEORY,""
CIVIL,Sem 3,"ES 301CE","Surveying and Geomatics",THEORY,""
CIVIL,Sem 3,"PC 301CE","Introduction to Solid Mechanics",THEORY,""
CIVIL,Sem 3,"PC 302CE","Introduction to Fluid Mechanics",THEORY,""
CIVIL,Sem 3,"PC 303CE","Material Testing and Evaluation",THEORY,""
CIVIL,Sem 3,"ES401ME","Elements of Mechanical Engineering",THEORY,""
CIVIL,Sem 3,"MC 210","Environmental Science",THEORY,""
CIVIL,Sem 4,"HS 301MC","Managerial Economics and Accountancy",THEORY,""
CIVIL,Sem 4,"PC 401CE","Mechanics of Materials",THEORY,""
CIVIL,Sem 4,"PC 402CE","Structural Engineering",THEORY,""
CIVIL,Sem 4,"PC 403CE","Hydraulic Engineering",THEORY,""
